url	hyperlinked text
https://www.fda.gov/about-fda/fda-basics/fact-sheet-fda-glance	$2.6 trillion             
https://www.nytimes.com/2019/08/13/opinion/novartis-drug-cost.html	prescription drugs             
https://www.nytimes.com/2019/05/04/opinion/sunday/medical-devices.html	medical devices             
https://www.sciencemag.org/news/2018/07/fda-s-revolving-door-companies-often-hire-agency-staffers-who-managed-their-successful	revolving door             
https://www.nytimes.com/2019/12/30/health/FDA-opioids.html	opioid epidemic             
https://www.nytimes.com/2019/10/14/health/vaping-e-cigarettes-fda.html	youth vaping             
https://www.nytimes.com/2019/11/01/health/fda-commissioner-hahn.html?action=click&amp;module=RelatedLinks&amp;pgtype=Article	no significant policy experience             
https://www.nytimes.com/2019/03/05/health/scott-gottlieb-resigns-fda.html	Dr. Scott Gottlieb             
https://www.nytimes.com/2018/06/08/opinion/drug-approval-cutting-prices.html	faster             
https://www.nytimes.com/2018/03/23/health/right-to-try-drugs-fda.html	libertarian groups             
https://www.healthaffairs.org/doi/abs/10.1377/hlthaff.2018.05185?rfr_dat=cr_pub%3Dpubmed&amp;url_ver=Z39.88-2003&amp;rfr_id=ori%3Arid%3Acrossref.org&amp;journalCode=hlthaff	former F.D.A. commissioners             
https://www.nytimes.com/2011/12/14/opinion/free-the-fda.html	Restore the agency’s autonomy             
https://science.sciencemag.org/content/364/6441/628	political interference             
https://www.nytimes.com/2019/09/05/opinion/vape-health.html	backfired             
https://www.statnews.com/2018/12/11/dsuvia-military-fda-opioid/	approved             
https://publicintegrity.org/politics/trumps-raves-put-drug-for-vets-on-fast-track-but-experts-arent-sure-it-works	fast-tracked             
https://www.statnews.com/2019/12/13/the-good-the-bad-and-the-really-really-ugly-behind-sareptas-drug-approval/	reversed its decision             
https://www.statnews.com/2019/11/22/fda-regulation-cbd-amy-abernethy/	promising to do so             
https://www.nytimes.com/2019/06/10/health/stem-cells-fda.html	regulatory grace period             
https://www.nytimes.com/2019/01/31/opinion/letters/letters-to-editor-new-york-times-women.html	<em class="css-2fg4z9 e1gzwzxm0">               a diversity of letters              </em>             
https://help.nytimes.com/hc/en-us/articles/115014925288-How-to-submit-a-letter-to-the-editor	<em class="css-2fg4z9 e1gzwzxm0">               tips              </em>             
mailto:letters@nytimes.com	<em class="css-2fg4z9 e1gzwzxm0">               letters@nytimes.com              </em>             
https://www.facebook.com/nytopinion	<em class="css-2fg4z9 e1gzwzxm0">               Facebook              </em>             
http://twitter.com/NYTOpinion	<em class="css-2fg4z9 e1gzwzxm0">               Twitter (@NYTopinion)              </em>             
https://www.instagram.com/nytopinion/	<em class="css-2fg4z9 e1gzwzxm0">               Instagram              </em>             
